,questionType,asin,question,answerType,answer
17,yes/no,0615179088,would it give you the words you need if you were to take a week long trip to japan,Y,"Hi Colt, Yes, it will teach you the main phrases, vocabulary and sentence structure for a week long trip. The program is equivalent to the first year Japanese curriculum. Enjoy your trip to Japan. You might also want to try watching free youtube channels that teach the basic Japanese for tourists."
18,yes/no,0615179088,can you speak fluent japanese after this program is done?,Y,"You will learn the basic things, and it helps with memorization. I recommend you buy these other books along with Human Japanese.... ""Kanji Pict-O-Graphix: Over 1,000 Japanese Kanji and Kana Mnemonics"" ""Japanese In 10 Minutes a Day"" ""Outrageous Japanese: Slang, Curses & Epithets"" ""Read Japanese today"" ""Read and Speak Japanese for Beginners A Guide to Reading and Writing Japanese (English and Japanese Edition)"" ""Easy Japanese: A Direct Approach to Immediate Conversation"" and possibly a Japanese dictionary. It takes more than one source to be fluent. All of the books I mentioned can be bought used for 1 cent, along with 4 dollar shipping and handling fees. Any other questions?"
19,yes/no,0982583885,"Do you have to provide proof that you are a student? (Older versions did, though it was made clear in the product discription.)",?,When I registered they did ask me where I went to school and what year I was in and there was a disclaimer saying if they beleive I am not a student they would contact me and require an enrolment verification letter
20,open-ended,0982583885,MathWork says that the Student Version R2013a comes with a mac version is that correct?,,"Yes, you can install MATLAB and Simulink Student Version on a Mac"
21,yes/no,0982583885,is it compatable with lego mindstorms EV3?,?,I do not use MATLAB with this device MATLAB Help lists the following references: http://www.mathworks.com/matlabcentral/answers/88078-support-for-lego-mindstorms-ev3 https://wiki.qut.edu.au/display/cyphy/Lego+EV3
22,yes/no,0982583885,Is this dvd-rom for compatible with mac?,Y,"Yes, MATLAB and Simulink Student Version R2013a DVD is compatible with mac."
23,yes/no,0982583885,Is this dvd-rom compatible with UBUNTU 12.04?,?,MATLAB and Simulink Student Version is compatible with Ubuntu 12.04 LTS and 12.10
24,yes/no,0982583885,Will this product work on windows 8.1?,Y,Yes it works on windows 8.1. I own a laptop that runs on windows 8.1 and my MATLAB program runs perfectly. I hope I was able to be of help.
25,yes/no,0982583885,is it compatable with window 7 ultimate (64-bit)?,Y,Yes that is my exact situation and the 32 bit student version does work on my 64 bit windows 7 ultimate machine.
26,open-ended,0982583885,How do I get Matlab if I'm not enrolled in a school? I'm an 84 year old retired engineer,,"You have to buy the full product from math works.com for $500, I think. You need an email address that ends in .edu if you want to use the Student Version."
27,open-ended,0982583885,What happen if I format my windows laptop after I install Matlab on it? Will I lose the license??,,"NO, You will not lose the license."
28,yes/no,0982583885,Does the R2013a benefit and run faster on 64bit OS ?,?,All I got when I ordered Version R2013a was the 32 bit version. If the program isn't written to take advantage of a 64 bit system there should be no speed improvement. I don't have any problems running it on Windows 7 Professional 64 bit though.
29,open-ended,160717930X,Which coarse provide the best results for beginner conversation,,"Jane: I got this for my grandson, who is 6, in a French Immersion school. This worked perfectly for him."
30,yes/no,160717930X,I have an older MAC (OSX 10.4); will this run on my MAC? The specs indicate 'yes' but I'd like to be sure.,?,I am the grandmother So I will forward this question to our daughter who is the homeschoing mom
31,open-ended,160717930X,"Will this program work with Windows 8? The Rosetta Stone website says it will, but is this a different product? It is quite a bit cheaper on Amazon.",,"I don't know, I don't have Windows 8. What is Amazon's return policy for software?"
32,yes/no,1607179245,Does it work with Windows 8?,Y,Yes
33,open-ended,1607179245,"Will the headset work with two children? And, is there a workbook included?",,"The lessons can be done repeatedly, so you can use it for two children. Using the same headset for both of them should not interfere. The workbook is included on a CD with the home school versions and you can print it off or get it printed off at somewhere like FedEx Kinko's for about $10-$15."
34,yes/no,1607179245,Can I install this on my laptop in addition to my desk top?,Y,"It's good for only 2 installs. So yes, you should be able to. I had a computer crash recently right after installing and had to use my 2nd and last install. I called Rosetta and asked about this and they acted like they will make exceptions and to call them when I need to install again."
35,yes/no,1607179245,does it work with Windows 7 ?,Y,Yes. That's what we are running it on.
36,open-ended,1607179245,I see one comment about mac users. what are others experiences? does it work well?,,I do not have a MAC. I use windows & this program is wonderful. It is very user friendly. I would ask Rosetta Stone customer service this question.
37,yes/no,1607179245,Can the CDs be loaded on more than one computer so each child can do lesson at the same time?,?,You can only use the code/load the CDs twice. But you can go through the lesson as many times as you want. So you can just put it on one computer and have each child do it separately.
38,open-ended,1608293017,homeschool edition: What is the difference between Rosetta Stone Spanish 1-5 and the homeschool edition?,,you get workbooks you can print
39,open-ended,1608293017,How many users are possible? I teach in a small school and need a product that can support up to 15 users.,,you may have up to 5 users on 2 separate computers for a total of 10. Hope that helps.
40,yes/no,1608293017,Does this work with windows 7?,Y,It works great with Windows 7 as well as Vista.
41,yes/no,1608293017,Is this product the same as the one that retails for over $399 on other websites?,?,It is. My grandchildren love it and are always ready to do their lessons.
42,open-ended,1608293017,Does the Home School version limit the amount of time you have to use the product? I read it gives you 3moths and that's it? Is it 5 users? Version3?,,"My daughter has been using this for over 2 years. We have never added other users so I don't have the answer to that question. My daughter took spanish for 3 years in school; 8th, 9th and 10th grade. She decided to pick it back up in college and Rosetta Stone helped her to bridge the two year gap. She also learned more than prior years in school. I would definately recommend this software."
43,open-ended,1608293017,Our Microphone isn't recognized on the mac with OS X 10.9.4. Any suggestions?,,Well I am not to sure what you can do but since mac is a apple product maybe using some apple headphones could help with the problem. once again I am not to sure myself but if that helps then awesome. hope that helps
44,open-ended,1608293017,Our Microphone isn't recognized on the mac with OS X 10.9.4. Any suggestions?,,"I don't have a suggestion. When I purchased ours, it was for a PC. However, I did not know that it was for xp and 2000, I believe. Fortunately my parents have a laptop with xp and my daughter is able to use it. I do not remember seeing a choice for operating systems, except for the PC/MAC difference. I noticed on the back of our box it is dated 2009."
45,open-ended,1608293017,What version is this?,,"Hi Leah... I am not sure what you are asking? This product has a description::Rosetta Stone Homeschool teaches your student a new language naturally, the same way they mastered their first language. Innovative solutions get them speaking new words, right from the start. Rosetta Stone Homeschool moves forward only when your student is ready--you set the schedule and your student drives the pace. Parent Administrative Tools allow you to formulate lesson plans, manage your student's progress and track their success. Audio Companion CDs let them reinforce the Rosetta Stone experience anytime, anywhere. My daughter hadn't taken spanish for about 4 years and used this to brush up so she could take spanish in college. She found this very helpful. She continues to use this at higher levels as well. Hope this answers your question."
46,open-ended,1608293017,What is the Audio companion?,,"It is a cd for practice, but my kids have never used it through the first two levels."
47,yes/no,1608293017,Does this work for windows 8,Y,"The short answer is, SOMETIMES. It's a very touchy program with Windows 8. Very frustrating when it doesn't always work properly. I often regret having wasted my money on it."
48,open-ended,1608297128,How is this different from the regular Rosetta Stone French Level 1-5?,,"Homeschool version has several different extras; it provides a disc with pdf files for worksheets, quizzes and tests with answers; 36 or 45 week teaching plan, application also has a homeschool panel that displays all computer lessons and grades earned with overall grad average and time spent on each section, and total time used. Application also allows you to select a starting level if you have prior French knowledge."
49,yes/no,1608297128,Does this set come with the headset microphone?,Y,I have the Rosetta Stone Version 3 French Level 1-5 with Homeschool option and my set up did come with a headset microphone.
50,open-ended,1608297128,Will this be version 2 or 3? I notice the photo says 2; however on other sets (Spanish- Latin America) the photo says 2 while the info says 3. Thanks!,,The installed software says version 3
51,yes/no,1608297128,Will this version work with mac Mavericks?,Y,Yes it worked on my mac
52,yes/no,1608297128,Can the CDs be played in the car while you drive??,Y,"Yes, but there is only one or two CDs. They correlate with the lessons but in a very broad sense."
53,yes/no,1608297128,are there books in addition to cds?,?,The quick answer is no. But the course is so well put together that you don't need books. I was impressed this how intuitive the coursework is presented. You really don't need books and there is a help facility that explains how to use the software. I am thinking of learning another language because I feel like I am there working with someone who knows the language.
54,open-ended,1608297128,I am looking into getting this prduct. I have a MOS apple and it does not have the disk drive. I was wondering if i would have to by the attatchment in order to install this product or how it works. I dont want to spend that much money on something...,,"Yes you would need to buy something to put the CD in, I hope that this is helpful. There are a lot of discs, but I like the program."
55,yes/no,1608297128,Does this allow for multiple users? I want to buy it for the family and have each of us use it independently but on the same computer.,?,"I have three kids, who each have their own account and can navigate independent of each other with the program."
56,open-ended,1608297128,what is the diference bettween the Rosetta Stone Homeschool French Level 1-5 and theRosetta Stone French Level 1-5 Set ?,,The only difference that I've noticed is that the home school version comes with lesson plans.
57,open-ended,1608297128,What is difference between the Homeschool version vs. the standard version?,,"Never had the regular version but the Homeschool version allows you to track progress and score. It provides worksheets, quizes and tests. Also, you receive a few different lesson ideas to plan out your year. I believe alot of the video and audio and such is the same but not for sure."
58,open-ended,1608292983,Hi i hava a mac with maverick sofware OSX 10.9.4 and i want to know if it's compatible with this software. Thanks,,"I bought this for someone else, but I bought a ""learn Spanish"" version 5 years ago and it runs fine on my Mac with Maverick"
59,open-ended,1608292983,What is the difference in the homeschool verson &amp; the other?,,"I am not exactly sure what the ""other"" includes. The homeschool version is organized in a curriculum with regular tests and quizes and also includes PDF files you can print out as written exercises and a ""teacher guide."" I would expect the non-homeschool version probably does not include these."
60,open-ended,1608292983,Is this edition targeted to grade school-aged learners or is this edition suitable for adult learners as well?,,Yes it is well-suited to adult learners
61,yes/no,1608292983,my italian friend wants to learn English. Would he be able to learn off this version if he only speaks Italiano??,Y,Yes
62,open-ended,1608292983,Is it only for 1 computer? Can I install my laptop and Desktop?,,You can
63,yes/no,1608292983,Can I use the software with windows 8?,Y,"Don't know- but I don't see why it wouldn't work with Win 8 or Win 8.1. I think you should send Rosetta Stone that question, however- that's a pretty good question and they should have an answer- I'm thinking there may be problems with the video playback."
64,yes/no,1608292983,Can I use software with windows 7?,Y,"Yes, you can."
65,open-ended,1608299708,what does it mean you have to re add the language every 3 months,,"Thats is the online features like the one-on-one lessons with a teacher, or the different language games you can play to help you learn. The core Rosetta stone program will stay installed on you comp but you will have to subscribe to keep the online features."
66,yes/no,1608299708,Can the discs be used in the disc player in the car?,?,"I haven't tried putting the discs in the car's CD player. Rosetta Stone program is visual as well as auditory, so it would not work while you're driving. There is a Rosetta Stone smartphone app that syncs with your lesson progress and could be used if you're a passenger."
67,open-ended,1608299708,we have this on two computers in different countries and two users can we keep where we are up to on both computers,,yes
68,open-ended,1608299708,I understood from one of the users that the CD roms stop working after a time whereupon you need to pay extra. True?,,I haven't come across that issue as of yet. I immediately installed all 3 disks upon arrival although I'm still currently working in the first disk I can't imagine why the others wouldn't work just as this one is. No prompts or issues during download. My packaging was sealed as if from supplier itself. Hope that helps
69,yes/no,1608299708,does the program have a time limit for usage on it,N,"No, but every 3 months you have to re add the language, which is not a hard process"
70,yes/no,1608299627,You bought level one . Will you buy the next levels?,Y,"Midway through I tried out Pimsleur and I found it a lot more practical than Rosetta Stone. Eventually I switched to group classes. In general I would say RS is great for a quick start and vocabulary, Pimsleur is great for practical phrases but in the end there's nothing like a real teacher."
71,yes/no,1608299627,Will you buy the next level edition,?,My grandson likes the program and finds it easy to ue.
72,yes/no,1608299627,Did you learn Chinese,?,"Not through Rosetta Stone. For 5 months I worked Rosetta Stone every day and it did not produce fluency of any kind. My previous post will tell you why. I purchased a language suite from ""Transparent Language"" a lot cheaper and much more productive and portable on my tablet."
73,yes/no,1608297144,Does this come with the headset?,?,The version of Rosetta Stone that I purchased from Amazon that included both the standard and homeschool versions. The box contained one set of headphones/microphone.
74,yes/no,1608297144,Will this product work with a new Mac as well?,Y,"yes, or at least according to the install manual it comes with it should work."
75,yes/no,1608297144,"Does ""Homeschool"" mean that this is meant for kids?",?,"You can tailor the program to focus more on speaking and understanding for younger learners and you can track their progress with the homeschool function, but otherwise I think the overall content is the same as the adult program. I kind of wish it was more fun and engaging for little kids, but my kids think its kind of boring, but they do it anyway. They are 7 and 4. I have to help the 4 year old because she can't read yet, so its not as awesome as I had hoped, but there's really nothing better."
76,yes/no,1608297144,Does it have the online chat with a person who speaks Italian like the regular version does?,?,I don't believe so
77,yes/no,1608297144,"Does it support more than 1 student, can I also use it to learn along with my daughter?",?,"The program allows up to 5 users at a time, but can only be loaded to one device. If you put it on a device you both have access to, (aka a family computer) you will both be able to use it."
78,yes/no,1608299988,Is a original rossetta stone,Y,"yes, it was bought via Amazon but was authentically Rosetta Stone."
79,open-ended,1608299988,Does the set include the actual DVDs or is it a subscription?,,Unless it says just downloads yes it has dvds. The one I got from amazon had dvds
80,yes/no,1608299988,are the discs able to be used on my ipad,N,No
81,yes/no,1608299988,Does it teach grammer?,?,To an extent. It's mostly focused on the identification and pronunciation of words but you end up learning the different conjugations along the way.
82,open-ended,1608299988,audio companion versus download only version,,Does it make any difference? Have the online support and lessons is excellent so ensure you have that
83,open-ended,1608299988,On how many computers can you download this product?,,My instructions said that I could install Rosetta Stone onto 2 computers.
84,yes/no,1608299988,Is the headset &amp; mic good quality,Y,"I was not provided with a headset, the box I received had earbuds with a mic attached. I couldn't get it to work, then realized that it only worked if I spoke into the earbuds themselves. I contacted Rosetta Stone asking for a replacement because my earbuds seemed to be wired backwards. They kept sending me directions on how to install them, which I did. They didn't seem to understand that it was the earbuds/mic itself that was faulty. I finally went out and just bought my own headset for $30, and it works great."
85,open-ended,1608299988,"Do the various levels equate to high school and college foreign language requirements? If so, which levels for which grades?",,"College language classes move at a much faster pace than High School. Where the actual levels line up with each of them would be hard to assess. I think the product is a good one, potentially better at refreshing the knowledge of someone who used to speak a language rather than learning with no prior experience. That said, I warn you this company has the worst customer service I have even dealt with. I have RS system updates of every level pending since November and I won't implement them because they are very likely to trash the entire package and I just know want to go through that merry-go-round again. This is a fairly expensive bit of software to be treated so unprofessionally as has been my experience with them."
86,yes/no,1608299988,Does this come with the workbooks?,?,"No, No workbooks. All work is done on the computer - audio, speaking, visual, typing."
87,open-ended,1608299988,How much hard disk space does this program take? I have a MacBook Air with limited room.,,600MB free hard drive space (per level)
88,yes/no,1608299775,Will this Rosetta Stone English (American) - Level 1-5 Set include the Iphone app for free?,Y,Yes
89,open-ended,1608299775,Which Rosetta Stone package do I need to purchase to go from Spanish to English,,"1-5 set, you would want to do the whole thing. Good luck"
90,open-ended,1608299775,How many computers can I install Rosetta Stone program?,,"I'm pretty sure you can install it on multiple computers. I only tried it on one. While the program ran just fine, I was disappointed with the method of learning so I no longer used it. It focused only on memorizing words and phrases. It didn't focus at all on grammar. Unfortunately, it was a high price to pay just to be disappointed with the program's teaching method."
91,yes/no,1608299775,will it work if I download it in the US and install in another computer n another country?,Y,Yes! Absolutely! You can install the program in the country you want. ;)
92,open-ended,1608299775,Would this work for Mexican (Latin American?) Spanish speaking people?,,"Yes, I have seen a dramatic improvement in vocabulary, pronunciation, and communications. Mi lengua natal es el espanol, y eh aprendido muy rapidamente el ingles."
93,yes/no,1608299775,"My wife's english is ok, but her grammar is what needs work. Will this help?",N,"No. This is not good for grammar. It was the same case for my wife, so we have to google grammar lessons to understand how a particular sentence is built. This software teaches you what objects are called in english and basic sentence formation. But it does not tell you ""why and how"" this sentence is built this way."
94,open-ended,1608299775,"How many users does it support? I want my kids to learn, each on their own pace. Is that possible?",,"Hi Eran, apoligize I will not be able to answer this question, only my wife used the software."
95,open-ended,1608299775,which version to use for Windows7 ?,,I have version 4 on Windows 7. Not sure if they have made one that requires version 8.
96,open-ended,1608299775,in how long can you learn English from Spanish?,,"The more you study the better you'll get.Like with everything it will take time,but that depends on you.every one is different,just don't give."
97,yes/no,1608299775,will rossetta stone make a native speaker,?,No but the results will speak for themselves. I got it for my wife who is Japanese. She made leaps and bounds from the year that she used it. She actually still uses it. Loves it because of all the confidence it provided her to go out and use her English. I recommend it.
98,yes/no,1617160040,Do you see words written as well as hearing them spoken? I'm a visual learner and audio-only is useless to me-- although a combination would be great.,Y,Yes
99,yes/no,1617160040,does it work with windows 8?,?,"I don't know but I'm getting ready to re-install it after not using it for 6-8 months, on my new laptop with touchscreen and Win8. I can comment when I do it."
100,yes/no,1617160040,can two people take at the same time,N,"I am not sure about the question but Rosetta Stone gives you headphones and you have to speak the language unless you do not want to use the speech part. It keeps up with your progress and you have to finish sentences and answer questions,etc. so I guess the answer would be no."
101,yes/no,1617160040,does it work on windows vista?,?,"I checked the Rosetta Stone box and it says it operates on the following: Windows XP SP3, Vista SP2, Windows 7 and Windows 8. Hope this helps."
102,open-ended,1617160040,How many people can use the software?,,From Rosetta Stone's website FAQ: I purchased the Rosetta Stone Language Learning CD-ROM. How many computers can I install the software on? The software can be installed on up two computers for use for up to five family members
103,yes/no,1617160377,i'm traveling to italy to visit relatives who do not know english. i do not have an easy grasp on learning languages. will this work?,?,"I too am not one to learn languages easily. At the age of 56. I was reluctant to try. However, this program made it fun and as easy as possible for me. I look forward to spending time with this. IT IS worth the money. Best Wishes for your visit to Italy. As a side note, my husband lost his camera while visiting Italy. We had taken a picture of our name and address as the first picture on the memory chip. A wonderful Italian man found it and mailed it to us. The camera came home before my husband! Enjoy your trip!"
104,open-ended,1617160377,Can more than one person use this software? Or is it limited by user specific codes or something. Thank you!,,There are three people using it in our home on the same computer. It remembers where each of us left off and we share the earphones that come with it. I think three or four may be the limit but I am not sure. Enjoy!
105,open-ended,1617160377,RS Does not install on Mac OS X: Anyone out there successfully installed any RS version on a Mac running OS X??,,Way to bad I didn't see this one before I ordered. One would expect a responsible vendor to quit carrying it. Right Amazon!
106,open-ended,1617160377,Can you please tell me if this is compatible with Mac Mountain Lion or Mavericks?,,No
107,yes/no,1617160377,will this download and run off pc windows 8,Y,I am not sure but I believe there would be a Rosetta Stone version for windows. The product is great. I would get in touch with RS directly and ask the question. It worked perfectly for me on a Mac.
108,open-ended,1617160377,My daughter has a macbook... will this work or not??,,"Yes, absolutely. I can't remember when we bought it if you had to select Mac or windows but ours works perfectly. Check before you order."
109,yes/no,1617160377,"Has anyone tried to install it only to get an ""1141 Fatal application error"" and the only solution is to close the program?",?,Not me. I'd call customer service.
110,open-ended,1617160377,what will Level 1 do for me? I can't find anything that tells me if Level 1 is sufficient for learning some Italian just for the fun of it.,,"Hi, Timmy: You should be able to learn from Level 1 Italian to get by. Although I think it would be easier had there been English along with the lessons which are mostly pictures and the oral Italian phrases and sentences with each picture. Not what I expected."
111,yes/no,1617160377,"Is this download only or do I get CDs? What about the online ""interactive"" portion - how valuable is that, being of no use to me as I have dialup Internet.",?,"Roy, I believe it's download only. However, I am away for a few weeks so I can't give you an exact answer. I would check the kit, if I was at home. I really got a lot out of the interactive portion. Most of the Italian's that we encountered, except for the train station in Rome, were friendly and very willing to speak English. You might be very frustrated with the dialup. Also, be sure you have enough RAM to hold this program. I learned that lesson the hard way. It won't download, if there's not enough memory, or whatever is needed. I'm not too proficient with computer stuff. So you may want to consult with a second person. Whatever you decide, have a wonderful time in Italy."
112,open-ended,1617160377,what windows platform is it compatible with?,,I use windows 8 on my laptop. I absolutely LOVE Rosetta Stone. I am learning italian and it is by far the best lesson plan I have EVR had.
113,open-ended,1617160210,How can you easily find a specific lesson to review - even if you 'passed it with 100%'? I am finding this difficult!!,,"When you first start up the program, does your opening screen want to direct you to a specific lesson in a specific unit? Mine does--that's part of setting program preferences. But looking closely at my opening screen, I always see the option to click a link that says ""Explore all activities for Unit x"" When I click that link, I can see all the lessons in the entire unit, and go back to any of them, even the ones in which I performed at 100%. Hope this helps. Let me know if I can help further."
114,open-ended,1617160210,"Does Rosetta Stone start with the Hebrew letters or does it go right into learning the language? If it teaches the letters, how many lessons are spent",,"Rosetta Stone allows the student to learn to speak the language, or to read and speak it, or to read, speak, and write the language. I chose the full package. I already knew the aleph-bet, and how the letters sound. If you don't know the aleph-bet, simply pay attention to the shapes of the letters and listen to the speakers give the phrases, and before long, you will be able to figure out the reading, too. I know this because a friend (years ago) purchased the Rosetta Stone Arabic, and those squiggles are meaningless to me, but after a period I could begin to grasp why a certain squiggle is different than another. It's not like Chinese, where there are hundreds of characters to learn; there are only 22 letters, only a few of which have a different form when found at the end of a word; also one letter takes a different sound based on whether there is a dot over it on one side (shin vs. sin). There are sections where spelling entire sentences is required, and those are the ones that I have the most trouble with. Happily, the program scores my answers, and allows me to retake the lesson till I get a score that is satisfactory to allow me to move on (typically high 80's or the 90's). I cheated and took notes on the correct answers (provided when the section is completed) and took the section again, inputting the correct answers, but wish I had not done that for the first time or two once I found out I would actually learn the words better for having to learn how to spell them. (For example, I spelled it so many times, I'll never forget the Hebrew word for ""toy"" in my life!) Once I learned how valuable the spelling is, I started the program under a different name (several students are allowed, and my wife isn't interested in Hebrew, so they are all me). Once I get to the section with the spelling, I'll take it the honest way, which is to say, by trial and error till I get a good grade."
115,open-ended,1617160210,"I specifically want to learn the Hebrew language for biblical study purposes. Does this program cover, or go into that at all? Thanks!",,"Hello Cornelia, I do not believe it does. The intent of the software appears to be for beginners to be able to converse and write (to some extent)."
116,open-ended,1617160210,"Is the headset/microphone included with the set, or do you need to purchase separately?",,Come With the headset
117,yes/no,1617160210,"Is everyone experiencing this same aggrevation? The part where you repeat, even if you say it right, it marks you wrong!!",N,No
118,yes/no,1617160210,"I saw some packages have audio companion, does this package include audio companion too?",?,"When I saw your question, I went to my original box and opened it. There is a CD that is entitled Audio Companion, but I never listened to what is on it."
119,yes/no,1617160210,Can the download be used on multiple computers,?,I have installed and run this software on multiple computers.
120,open-ended,1617160210,Version?,,4
121,yes/no,1617160210,Does the current version allow using Hebrew on your iPhone and iPad? I'm getting conflicting information.,?,"Sorry, I'm not much help. On the CD box is says it is compatible with MP3 devices, but I don't use it that way. Can you call Customer Support at 877-2239763 and ask?"
122,open-ended,1617160210,"What is the Live Online Lesson like? Is there a limit on how many online lessons I can take, or how often?",,"We did not use the online feature, sorry I have no information."
123,yes/no,1617160857,can you down load rosetta stone to 2 different computer at different locations,?,"Hi Just saw your question. That is all you can do. No more than 2 computers. You can down load it on 2 computers and let up to 10 people then use it, but if like us - a family of four; you can not put it on all four computers for 4 people to use. I contacts Rosetta and no way would they be reasonable and let us download it on our individual computers. So only 2 people could use it at a time, I did try it on my daughters computer, but you cannot access the online programs as she is the registered user on that computer- I am told also that using the online program cost more after 3 months- so using it was not that good. Instead, I found Duolingo it is free and apparently more successful than Rosetta Stone is- there is some plateau- ing but no more than RS. Save your money go to http://www.duolingo.com- I think you'll be just as happy and apply the high cost of Rosetta Stone to your next trip"
124,open-ended,1617160857,What is the difference between the Spanish (Latin America) and Spanish (Spain),,"In Spain certain sentence structures are different and they still use ""vosotros"" which is rarely used in South America although some, such as the Argentinians use ""vos"" instead of tu. Also some slang and other sentence structures vary; even Mexican Spanish uses differ. I've been to almost all Central and South American countries that speak Spanish, Brasil does not, ellos hablan portugues. Double ll in argentina sounds like a Shya sound, not ya, Yo llama ingels . Chileans speak very rapidly. Peruvian Spanish is the clearest, nicest. If you plan to spend time in the Americas go with the Latin America, they will understand you in Spain anyway...Or use the universal language, English."
125,open-ended,1617160857,"Rosetta Stone / Spanish 1-5 version , lastest version for Windows 7: Can the software be loaded on home main PC, but also the same household laptop.",,"Hello Capt. REC, If you have the Version 3 or Version 4 TOTALe program (with CDs), you can install your program on 2 computers, and have up to 5 learners on each computer. If you need any assistance installing on a second computer, feel free to give our Product Support team a call at (866) 834-6115. I hope this helps!"
126,yes/no,1617160857,Hi. Does Learn Spanish: Rosetta Stone Spanish (Latin America) - Level 1-5 Set come with audio companion CDs,Y,"It does but I strongly recommend you look elsewhere. Headset functionality was a constant issue, precluding interaction with a live coach. feedback and echoing and volume problems persisted.Tech support was unable or unwilling to help. The amount of content received is disproportionate to the high price. I found it a frustrating waste of money."
127,yes/no,1617160857,Do I need to buy the whole set to learn?,Y,I would absolutely say yes! I even purchased the Spanish Instant Immersion because I wanted to have it at my work place and be on the go and make sure that I was learning fast.
128,open-ended,1617160857,What version of Windows will this work?,,"I have Windows 8, and it works perfectly. Not sure what other version of Windows it will work with. I'm sure if you call Rosetta Stone, they will have an answer for you."
129,open-ended,1617160857,How many GB is rosetta stone spanish?,,The Rosetta Stone requires 1 GB of Ram or higher and 600 MB free hard-drive space (PER LEVEL)
130,open-ended,1617160857,I'm hard of hearing would be able to understand the conversations on disc,,You could turn the volume way up if needed. I play mine at a low to medium volume so I think you would be just fine. Hope this may help you out. LRE
131,open-ended,1617160857,"if i have mac and my friend has a pc andn we are splitting the disc set, is it compatible with both or are they seperate versions",,compatible with both
132,open-ended,1617160857,How would I use this with a Samsung Chromebook ?,,You would establish an account with your email address as your user id & password & login once your serial #'s are validated. I use it on my cell phone via chrome. The disks are pretty much worthless.
